Brandenburg an der Havel, Stadt;14770;  229,72; 71 664; 35 380; 36 284
Bocholt, Stadt;46395;  119,40; 71 350; 34 938; 36 412
Landshut;84028;  65,83; 70 025; 33 927; 36 098
Celle, Stadt;29221;  176,02; 69 561; 33 697; 35 864
Aschaffenburg;63739;  62,45; 69 187; 33 450; 35 737
Lippstadt, Stadt;59555;  113,68; 67 812; 33 375; 34 437
Dinslaken, Stadt;46535;  47,66; 67 726; 32 808; 34 918
Aalen, Stadt;73430;  146,58; 67 684; 33 502; 34 182
Kempten (Allgäu);87435;  63,28; 67 529; 33 437; 34 092
Fulda, Stadt;36037;  104,04; 67 466; 32 968; 34 498
Herford, Hansestadt;32052;  79,16; 66 514; 32 405; 34 109
Kerpen, Kolpingstadt;50171;  113,96; 65 568; 32 252; 33 316
Plauen, Stadt;08523;  102,11; 65 049; 31 647; 33 402
Neuwied, Stadt;56564;  86,50; 64 689; 31 598; 33 091
Weimar, Stadt;99423;  84,48; 64 355; 31 152; 33 203
Sindelfingen, Stadt;71063;  50,83; 64 159; 31 833; 32 326
Rüsselsheim am Main, Stadt;65428;  58,29; 64 022; 31 833; 32 189
Dormagen, Stadt;41539;  85,50; 64 016; 31 802; 32 214
Neubrandenburg, Stadt;17033;  86,11; 63 794; 30 942; 32 852
Grevenbroich, Stadt;41515;  102,41; 62 977; 30 558; 32 419
Rosenheim;83022;  37,22; 62 672; 30 760; 31 912
Herten, Stadt;45699;  37,33; 61 461; 30 039; 31 422
Garbsen, Stadt;30827;  79,49; 60 853; 29 685; 31 168
Wesel, Stadt;46483;  122,56; 60 797; 29 550; 31 247
Schwäbisch Gmünd, Stadt;73525;  113,78; 60 349; 29 478; 30 871
Bergheim, Stadt;50126;  96,34; 60 288; 29 634; 30 654
Friedrichshafen, Stadt;88045;  69,93; 59 611; 29 586; 30 025
Hürth, Stadt;50354;  51,22; 59 272; 28 985; 30 287
Stralsund, Hansestadt;18439;  54,14; 59 101; 29 076; 30 025
Offenburg, Stadt;77652;  78,37; 58 736; 28 811; 29 925
Langenfeld (Rheinland), Stadt;40764;  41,15; 58 563; 28 461; 30 102
Frankfurt (Oder), Stadt;15230;  147,85; 58 193; 28 116; 30 077
Greifswald, Hansestadt;17489;  50,81; 57 985; 27 932; 30 053
Euskirchen, Stadt;53879;  139,49; 57 241; 28 074; 29 167
